company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
1140,1140,بنك البلاد,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896218
1150,1150,مصرف الإنماء,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896265
1020,1020,بنك الجزيرة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896290
1120,1120,مصرف الراجحي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896309
2350,2350,شركة كيان السعودية للبتروكيماويات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896327
2250,2250,المجموعة السعودية للإستثمار الصناعي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896345
2001,2001,شركة كيمائيات الميثانول,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896362
2010,2010,الشركة السعودية للصناعات الأساسية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896379
2020,2020,شركة سابك للمغذيات الزراعية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896396
2170,2170,شركة اللجين,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896413
2210,2210,شركة نماء للكيماويات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896430
2290,2290,شركة ينبع الوطنية للبتروكيماويات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896448
2310,2310,شركة الصحراء العالمية للبتروكيماويات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896464
2330,2330,الشركة المتقدمة للبتروكيماويات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896481
2060,2060,شركة التصنيع الوطنية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896497
2380,2380,شركة رابغ للتكرير والبتروكيماويات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896513
3005,3005,شركة أسمنت ام القرى,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896531
3002,3002,شركة أسمنت نجران,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896550
3003,3003,شركة أسمنت المدينة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896567
3004,3004,شركة أسمنت المنطقة الشمالية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896583
3010,3010,شركة الأسمنت العربية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896600
3020,3020,شركة أسمنت اليمامة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896617
3030,3030,شركة الأسمنت السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896633
3040,3040,شركة أسمنت القصيم,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896650
3050,3050,شركة أسمنت المنطقة الجنوبية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896666
3060,3060,شركة أسمنت ينبع,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896683
3080,3080,شركة أسمنت المنطقة الشرقية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896700
3090,3090,شركة أسمنت تبوك,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896717
3091,3091,شركة أسمنت الجوف,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896733
3092,3092,شركة أسمنت الرياض,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896750
4161,4161,شركة بن داود القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896766
4291,4291,الشركة الوطنية للتربية و التعليم,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896783
4292,4292,شركة عطاء التعليمية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896800
4290,4290,شركة الخليج للتدريب والتعليم,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896816
1830,1830,شركة لجام للرياضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896832
6012,6012,شركة ريدان الغذائية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896849
4051,4051,شركة باعظيم التجارية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.896866
